title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
left behind,"tim lahaye, jerry b. jenkins",2007-01-01,65.0,eng,y,16,1996–2007,1996,2007
a series of unfortunate events,lemony snicket aka daniel handler,2006-01-01,65.0,eng,y,13,1999–2006,1999,2006
little house on the prairie,laura ingalls wilder,2006-01-01,60.0,eng,y,12,1932–2006,1932,2006
all creatures great and small,"alf wight, as james herriot",1992-01-01,60.0,eng,y,8,1970–1992,1970,1992
jack reacher,lee child,2023-01-01,60.0,eng,y,22 novels + 11 short stories,1997–present,1997,present
the magic school bus,"joanna cole, illustrated by bruce degen",2010-01-01,58.0,eng,y,131,1986–2010,1986,2010
where's wally?[248],martin handford,2023-01-01,55.0,eng,y,13,1987–present,1987,present
"men are from mars, women are from venus",john gray,2023-01-01,50.0,eng,y,15,1992–present,1992,present
the hardy boys,various authors as franklin w. dixon,2023-01-01,50.0,eng,y,190,1927–present,1927,present
the bobbsey twins,various authors as laura lee hope,1979-01-01,50.0,eng,y,72,1904–1979,1904,1979
tarzan,edgar rice burroughs,1995-01-01,50.0,eng,y,26,1914–1995,1914,1995
earth's children,jean m. auel,2011-01-01,45.0,eng,y,6,1980–2011,1980,2011
a child's first library of learning,various authors,,45.0,eng,y,29,1980–,1980,
junie b. jones,barbara park,2013-01-01,44.0,eng,y,30,1992–2013,1992,2013
harry bosch,michael connelly,,42.0,eng,y,15,1992–,1992,
harry hole,jo nesbø,2023-01-01,40.0,nor,y,9,1997–present,1997,present
warriors,erin hunter,2023-01-01,40.0,eng,y,78,2003–present,2003,present
连环画 铁道游击队 (picture-and-story book railway guerilla),original author: liu zhixia,1962-01-01,36.52,zho,y,10,1955–1962,1955,1962
the shadowhunter chronicles,cassandra clare,2023-01-01,50.0,eng,y,14 + 8 companion books,2007–present,2007,present
かいけつゾロリ (kaiketsu zorori),yutaka hara,2023-01-01,35.0,jpn,y,60,1987–present,1987,present
paddington bear,michael bond,2023-01-01,35.0,eng,y,70,1958–present,1958,present
divergent trilogy,veronica roth,2013-01-01,35.0,eng,y,3,2011–2013,2011,2013
ノンタン (nontan),sachiko kiyono,2016-01-01,33.6,jpn,y,40,1976–2016,1976,2016
the inheritance cycle,christopher paolini,2011-01-01,33.0,eng,y,4,2002–2011,2002,2011
"rich dad, poor dad","robert kiyosaki, sharon lechter",,32.0,eng,y,18,1997–,1997,
とある魔術の禁書目録 (toaru majutsu no index),kazuma kamachi,,30.0,jpn,y,46,2004–,2004,
グイン・サーガ (guin saga),kaoru kurimoto,2009-01-01,30.0,jpn,y,147,1979–2009,1979,2009
徳川家康 (tokugawa ieyasu),sōhachi yamaoka,1967-01-01,30.0,jpn,y,26,1950–1967,1950,1967
ramona,beverly cleary,1999-01-01,30.0,eng,y,8,1955–1999,1955,1999
the dark tower,stephen king,2012-01-01,30.0,eng,y,8,1982–2012,1982,2012
dork diaries,rachel renée russell,2023-01-01,30.0,eng,y,15,2009–present,2009,present
the destroyer,"warren murphy and richard sapir, various authors",2023-01-01,30.0,eng,y,150,1971–present,1971,present
地球往事 (remembrance of earth's past),liu cixin,2010-01-01,29.0,zho,y,3,2008–2010,2008,2010
三毛猫ホームズシリーズ (calico cat holmes series),jirō akagawa,2023-01-01,28.0,jpn,y,43,1978–present,1978,present
curious george,hans augusto rey and margret rey,2023-01-01,27.0,eng,y,58,1941–present,1941,present
shannara,terry brooks,2023-01-01,26.0,eng,y,20,1977–present,1977,present
kurt wallander,henning mankell,2002-01-01,25.0,swe,y,10,1991–2002,1991,2002
sagan om isfolket (the legend of the ice people),margit sandemo,1989-01-01,25.0,swe,y,47,1982–1989,1982,1989
the sword of truth,terry goodkind,2023-01-01,25.0,eng,y,21,1998–present,1998,present
outlander,diana gabaldon,2023-01-01,25.0,eng,y,8,1991–present,1991,present
ズッコケ三人組 (zukkoke sanningumi),masamoto nasu,2004-01-01,25.0,jpn,y,50,1978–2004,1978,2004
鬼平犯科帳 (onihei hankachō),shōtarō ikenami,1990-01-01,24.4,jpn,y,24,1968–1990,1968,1990
brain quest,various authors,2023-01-01,23.7,eng,y,,1992–present,1992,present
south beach diet,arthur agatston,2023-01-01,22.0,eng,y,6,2003–present,2003,present
ソードアート・オンライン (sword art online),reki kawahara,2023-01-01,30.0,jpn,y,27,2009–present,2009,present
竜馬がゆく (ryoma ga yuku),ryōtarō shiba,1966-01-01,21.5,jpn,y,5,1963–1966,1963,1966
artemis fowl,eoin colfer,2012-01-01,21.0,eng,y,8,2001–2012,2001,2012
i survived,lauren tarshis,2020-01-01,20.0,eng,y,25,2010–2020,2010,2020
découvertes gallimard,various authors,2023-01-01,20.0,fra,y,more than 700,1986–present,1986,present
redwall,brian jacques,2011-01-01,20.0,eng,y,22,1986–2011,1986,2011
maisy,lucy cousins,2023-01-01,20.0,eng,y,23,1990–present,1990,present
dragonlance,various authors,2023-01-01,20.0,eng,y,more than 150,1984–present,1984,present
幻魔大戦 (genma taisen),kazumasa hirai,1983-01-01,20.0,jpn,y,20,1979–1983,1979,1983
青春の門 (the gate of youth),hiroyuki itsuki,2023-01-01,20.0,jpn,y,,1970–present,1970,present
スレイヤーズ (slayers),hajime kanzaka,2023-01-01,20.0,jpn,y,50,1989–present,1989,present
the foundation trilogy,isaac asimov,1953-01-01,20.0,eng,y,3[299],1950–1953,1950,1953
horrible histories,terry deary,2023-01-01,20.0,eng,y,24,1993–present,1993,present
rainbow magic,daisy meadows,2023-01-01,20.0,eng,y,80+,2003–present,2003,present
morgan kane,louis masterson,,20.0,nor,y,90,1966–,1966,
the southern vampire mysteries,charlaine harris,2013-01-01,20.0,eng,y,13,2001–2013,2001,2013
doc savage,"lester dent, various authors",2023-01-01,20.0,eng,y,203.0,1933–present,1933,present
涼宮ハルヒシリーズ (haruhi suzumiya series),nagaru tanigawa,2023-01-01,20.0,jpn,y,11.0,2003–present,2003,present
科学のアルバム (kagaku no album),various authors,2023-01-01,19.0,jpn,y,,1970–present,1970,present
剣客商売 (kenkaku shobai),shotaro ikenami,1989-01-01,18.0,jpn,y,18.0,1972–1989,1972,1989
erast fandorin series,boris akunin,2023-01-01,18.0,rus,y,12.0,1998–present,1998,present
dragonriders of pern,anne mccaffrey,2023-01-01,18.0,eng,y,23.0,1967–present,1967,present
吸血鬼ハンターd (vampire hunter d),hideyuki kikuchi,2023-01-01,17.0,jpn,y,39.0,1983–present,1983,present
the hitchhiker's guide to the galaxy,"douglas adams, plus a final book by eoin colfer",2008-01-01,16.0,eng,y,6.0,1979–2008,1979,2008
ぼくらシリーズ (bokura series),osamu soda,2023-01-01,15.0,jpn,y,36.0,1985–present,1985,present
bridget jones,helen fielding,2023-01-01,15.0,eng,y,3.0,1996–present,1996,present
his dark materials,philip pullman,2000-01-01,15.0,eng,y,3.0,1995–2000,1995,2000
銀河英雄伝説 (legend of the galactic heroes),yoshiki tanaka,1989-01-01,15.0,jpn,y,14.0,1982–1989,1982,1989
the no. 1 ladies detective agency,alexander mccall smith,2023-01-01,15.0,eng,y,9.0,1999–present,1999,present
der regenbogenfisch (rainbow fish),marcus pfister,2023-01-01,15.0,deu,y,,1992–present,1992,present
the riftwar cycle,raymond e. feist,2023-01-01,15.0,eng,y,25.0,1982–present,1982,present
wiedźmin (the witcher),andrzej sapkowski,2013-01-01,15.0,pol,y,9.0,1990–2013,1990,2013
